Topic,Count,Name,Representation,KeyBERT,MMR,POS,Representative_Docs
-1,64301,-1_colombia_joven_movimiento_ciudad,"['colombia', 'joven', 'movimiento', 'ciudad', 'sector', 'indigena', 'publica', 'apoyo', 'informacion', 'ayuda', 'rio', 'grado', 'justicia', 'hermana', 'eln', 'indigén', 'organizacion publica', 'generar', 'empresa', 'comision', 'humanos', 'publico', 'cultivo', 'organización', 'queria', 'civil', 'internacional', 'derechos humanos', 'presencia', 'programa']","['organizacion privado', 'organizacion publica', 'organización', 'poblacion', 'informacion', 'derechos humanos', 'movimiento', 'precisamente', 'ciudad', 'colombia']","['colombia', 'ciudad', 'informacion', 'grado', 'organizacion publica', 'empresa', 'publico', 'organización', 'internacional', 'derechos humanos']","['joven', 'movimiento', 'sector', 'apoyo', 'informacion', 'ayuda', 'grado', 'justicia', 'hermana', 'eln']","['cambio dejar violación derechos humanos tanto constancia funcionamiento burocratico recibir contestación embajado rapidamente petición sacar acción urgente persona escribir autoridad colombiano lugar recibir respuesta carta entramado respuesta autoridad agil cosa cambiar recurso generar trabajo proteccion persona riesgo colombia fundamentalmente amnistiar tipo formula mixto participar recurso entidad plataforma ciudadana defensora derechos humanos colombia trabajo amplio hablar recurso', 'resistencia consulta previo cosa marco juridico confrontacion capacidad proceso legal juridico identifico empresa petrolero organizacion privado farc eln impuesto sicim mano construccion oleoducto sonar queria nombrar ahorita organizacion privada suén empresa agarro ingeniero pagar miti miti eln farc pago empresa investigacion fiscalia compania organizacion privado precisamente haciendole pago grupo organizacion privado pagar pagar seleccionado organizacion privada construccion tramo oleoducto', 'rio cano aja familia grupo familiar lastimo finca cultivar hoja cocar monte abajo colgar colocar nombre aja contrario rio aja finca abajo llamar conocido aja abajo rio nuevamente abajo centro bajar via listo coger conocido coger pumm pasar coger llama finca donar dona conocido conocido llama coger abarcar to sector despojar gente pie sacar utilizar principalmente ganaderio dejar acabar meter pasto ganaderio gente ganado responsable presto conocido mil pucho millón meter ganado finca informe']"
0,22324,0_guerrilla_eln_guerrilla guerrilla_presencia,"['guerrilla', 'eln', 'guerrilla guerrilla', 'presencia', 'civil', 'guerrillo', 'guerrilla farc', 'guerrilla paramilitar', 'enfrentamiento', 'paraco', 'rio', 'poblacion', 'narcotrafico', 'soldado', 'cocar', 'mato', 'joven', 'control', 'abajo', 'combate', 'colombia', 'autodefensa', 'man', 'secuestro', 'paramilitar guerrilla', 'monte', 'base', 'finco', 'miliciano', 'paramilitarismo']","['guerrilla guerrilla', 'paramilitar guerrilla', 'guerrilla paramilitar', 'guerrilla', 'guerrilla ejercito', 'llegar guerrilla', 'guerrilla llegar', 'guerrilla farc', 'paramilitarismo', 'militante']","['guerrilla', 'guerrilla guerrilla', 'guerrilla farc', 'guerrilla paramilitar', 'paraco', 'poblacion', 'narcotrafico', 'colombia', 'paramilitar guerrilla', 'paramilitarismo']","['guerrilla', 'eln', 'presencia', 'civil', 'guerrillo', 'enfrentamiento', 'paraco', 'rio', 'narcotrafico', 'soldado']","['guerrilla paramilitar guerrilla basicamente supe situacion frente guerrilla frente paramilitarismo gente producia coca mandar paramilitar vendersela podiar vender monopolio guerra paramilitar guerrilla narcotrafico permear organización comenzar luchar persona acatar orden obviamente asesinado doctor profundizar tema conflicto armado hecho violento aparte mencionado tiempo juez lugar ano arremetidar paramilitar pasar rio guerrilla ano recordar ano exactamente masacro paramilitar posterior unidad', 'territorio afectación frente mision medico conocimiento enfasis hablabamos anteriormente concepcion poblador justamente zona tanehhh estrategico perfecto afectación guerrilla grupo armado hablar guerrilla llegado paramilitarismo retomar lleguer paramilitarismo principal afectación lao guerrilla decado decado ano decado ayudo aa estigmatizar poblacion civil guerrillero cosa guerrilla involuntariamente conscientemente ayudo generar estigma guerrilla paso guerrilla politico guerrilla militar', 'ajeno guerrilla guerrilla vuelvo comienzo faltar oportunidad desempleo desigualdad logico cubre campesino cubre pueblo apoyar ciudadania meter él bomba libra entoncesy agua cochín guerrilla llover culpa guerrilla truén culpa guerrilla drastico plantear cosa hecho especifico considerar error cosa asumir responsabilidad farc region puntualmente tienees incoherente coherencia ejemplo ejercito llegar atacar guerrilla ejemplo sucre comenzar bombardear ametrallar matir campesino culpa guerrilla']"
1,8462,1_victima_victimo_sexual_victimas,"['victima', 'victimo', 'sexual', 'victimas', 'violencia sexual', 'gobernador', 'reparacion', 'gay', 'homosexual', 'ayuda', 'unidad victima', 'reconocimiento', 'violar', 'comision', 'registro', 'lesbiano', 'justicia', 'lgbti', 'poblacion', 'declaracion', 'publica', 'reconocer', 'colectivo', 'organizacion publica', 'denunciar', 'atencion', 'colombia', 'victimario', 'violento', 'unidad victimas']","['unidad victima', 'victima victima', 'victimizacion', 'unidad victimas', 'victima conflicto', 'hecho victimizant', 'victimas', 'victimo', 'victimizante', 'victima']","['victima', 'victimo', 'victimas', 'violencia sexual', 'homosexual', 'unidad victima', 'lesbiano', 'organizacion publica', 'colombia', 'unidad victimas']","['victima', 'victimo', 'sexual', 'victimas', 'gobernador', 'reparacion', 'homosexual', 'ayuda', 'reconocimiento', 'violar']","['entender él saco servido comision aspecto duda positivo pasar esperar cosa expectativo debate reunion cosa hacer él momento acabar grupo acabar él queria escuchado comision dialogo improbable desaprovechar ojo encajonamiento victima suficientemente vulnerable victimo respiro tratao suicidarme reconocer victimo violar jueputa penetrar paramilitar victimo intentar cosa suficientemente victima victima victima necesidad imperioso escuchada vaín jueputa haber yo meter ano dialogo improbable haberl', 'relación sexual cambiar abierto vida sexual coger nalga coger discutir alguien alguien llegar coger sentir declare unidad inc unidad victima procuradurio horrible unidad medido satisfaccion queria acompanir psicologicamenteporque dimensionado tara surgir esoque invitar encuentro victima llevar taller sigo esperar chanfle funcionario entidad risa ido taller victimas violencia sexual servir entrevista horrible imagino focalizar funcionario acompanamiento decir estrategia recuperacion emocional', 'nuevamente jurado volvia meterme colombiano marginar empezo persecución francia organizar consulado proceso organizar organizacion social mes organizar asociacion organizacion social registrado victima victima persón latino unidad victimo reconocer victimo resolucion unidad victima registro unico proceso indemnizacion empecir ano recibido ojala recibirar pena gente recibido atacar victima ver victima gobierno gobierno hablar hable tanto cosa gobierno victimar recortarno presupuesto']"
2,5969,2_actor_liderazgo_actor armado_autoridad,"['actor', 'liderazgo', 'actor armado', 'autoridad', 'lider social', 'autodefensa', 'guardia', 'resguardo', 'indigena', 'lider lider', 'comunal', 'control', 'ranguir paramilitar', 'comunitario', 'rango paramilitar', 'indigén', 'paramilitar paramilitar', 'joven', 'movimiento', 'conductor', 'accion', 'robar', 'liderar', 'autodefensas', 'eln', 'accion comunal', 'matar lider', 'generar', 'presencia', 'amenazar']","['organizacion publica', 'fuerza publicar', 'rango paramilitar', 'organización', 'publico', 'actor armado', 'publica', 'derechos humanos', 'ranguir paramilitar', 'proteccion']","['actor', 'liderazgo', 'lider social', 'resguardo', 'lider lider', 'control', 'rango paramilitar', 'liderar', 'autodefensas', 'matar lider']","['actor', 'liderazgo', 'autoridad', 'autodefensa', 'guardia', 'resguardo', 'comunal', 'control', 'comunitario', 'indigén']","['machetiar colono pensar pelea normal pelea situacion defender derecho mirar nivel territorio actor armado pueblo etnico nivel identificado camino territorio actor armado nivel haigar ejemplo inter lucha indigena ano luchar indigena afro actor armado seguir territorio nivel visto ejemplo grupo armado farc ano cercano epoca matar galan epoca masacre union patriotico tomo decision continuar continuar guarde arma venir deje nota vea cosa paso hablar regreso conocido trabajo cós sentia nivel', 'actor armado echar comunidad problema interno comunidad sucedio bojaya echao bano comunidad rio gente empezar aburrimiento comunidad yendo quedar experiencia empezar aburrir gente actor armado precisamente comunidad actor armado llegar llegar permanecido pasar comunidad afecto echar forma ejemplo certegui certegui bano jaibán medico tradicional bano actor armado llegar territorio llegar rabia llegar pacientemente amenaza lider gobernador estrategiar comunidad funcionado hierba llegar rumor', 'organizacion publicar analisis investigacion sistematizacion situación considerar poder riesgo poblacion civil general departamento quindio incluir lider social defensor derechos humanos servidor publico marco conflicto armado mmmju quisierar precisamente marco funciones trayectorio tiempo lleva vinculado organizacion publicar cuent lectura general evolucion conflicto armado quindio pensado line tiempo actor presenciar presencia momento actor armado actor armado venido monitorear actualidad']"
3,5713,3_empresa_social organizacion_informacion_publica,"['empresa', 'social organizacion', 'informacion', 'publica', 'organizacion publica', 'internacional', 'consentimiento', 'organización', 'humanos', 'informe', 'derechos humanos', 'firmar', 'organizacion privado', 'movimiento', 'consentimiento informado', 'informado', 'publica organizacion', 'privada', 'empresario', 'sindicato', 'comision', 'trabajador', 'organizacion privada', 'sector', 'participar', 'firma', 'dato', 'taller', 'organizar', 'indigena']","['organizacion publica', 'publica organizacion', 'consentimiento informado', 'informacion', 'informado', 'inc organizacion', 'trabajar organizacion', 'organizacion organizacion', 'conocido organizacion', 'social organizacion']","['empresa', 'social organizacion', 'organizacion publica', 'organización', 'organizacion privado', 'consentimiento informado', 'publica organizacion', 'organizacion privada', 'firma', 'taller']","['empresa', 'informacion', 'publica', 'internacional', 'consentimiento', 'organización', 'humanos', 'informe', 'movimiento', 'informado']","['enfocar trabajar ejercicio entrevista decir él ejercicio integral organizacion publica organizacion publica organizacion publicar cosa encontrarnos ejemplo informacion organizacion publica recabir investigación organizacion publicar acceder informacion trabajo investigativo producir informe informacion organizacion publica recabir entrevista institucion estatal organizacion publicar corte supremo justicia senador pedirno contar diga organizacion publicar totalmente confidencial cuentenle', 'ver _ registro grabacion inicialmente institucion obligacion darte alcance interno testimonio organizacion publica informacion trabajo usar él distinto forma organizacion publicar informe investigacion cosa mención usado textualmente informe nombre aparecer informe suceda organizacion publica disponer consentimiento informado obligacion responsabilidad dartelo cabalmente conforme respuesta informacion usada explicado organizacion publica explicado informacion producto basicamente', 'informe hablar mandato organizacion publica destinar archivo entidad encargado custodio acceso terminar subo informacion caso grabacion ficha sistema dejar mano informacion rodar computador ciudad confidencial derechos obligada enganado ser él contribuir informacion decision contribuir informacion voluntario libre preguntar desear entender consentimiento transcurso entender revocar presente consentimiento haber él firmar terminar revocar consentimiento informacion recolectado utilizado']"
4,5105,4_colombia_bolivar_ecuador_cuba,"['colombia', 'bolivar', 'ecuador', 'cuba', 'proceso paz', 'chile', 'mexico', 'venezuela', 'movimiento', 'refugiado', 'visa', 'internacional', 'bloque', 'eln', 'central', 'sur', 'refugio', 'alemania', 'sur bolivar', 'central bolivar', 'país', 'exilio', 'unido', 'chavez', 'cubano', 'bloque central', 'social organizacion', 'panamar', 'union', 'frontera']","['sur bolivar', 'poblacion', 'relación', 'bolivariano', 'bolivar', 'ecuador', 'informacion', 'organizacion publica', 'central bolivar', 'organización']","['colombia', 'bolivar', 'proceso paz', 'venezuela', 'visa', 'sur bolivar', 'central bolivar', 'chavez', 'cubano', 'social organizacion']","['colombia', 'ecuador', 'chile', 'mexico', 'venezuela', 'movimiento', 'refugiado', 'internacional', 'bloque', 'eln']","['sali ecuador salir ecuador llegar junto llegar llevar aproximadauno ano ano llegar ano llegar llegar ano llegar junto ano viniste llegar anospor circunstancia separe aguantar papa hijo separar vivir inc suecia llegar yay colombia dedicabas salir trabajo cuidar nino ayudar él mama guarderio ecuador lleve negocio propiodependia sabido aclarar colombia ecuador trabajar colombia negocio siempreinterrup negocio terremoto negocio verdura local verdura regresamos empezo trabajo regresar trabajo tocar', 'ecuador pagado pagado matar papa hijo cuenta papa hijo contabainterrup contar esoy venio tipo vengo conocer noyo tipo lleguesolamente vi cara rapiditolo recuerdo borroso recordar muchodespu tipo salio carcel entidad funcionar entidad entidad colombia ecuador perdon llama jesuito refugiado llamar jesuita refugiado jesuita refugiado entidad trabajar iglesia casa preguntar colombiano emigrar ecuador ecuador recibiendobueno todasasi esasy dar ayuda ecuador dar ayuda mercado gratis mercado gratis', 'declaración tipo actor concreto general primero sepa leido organizacion social paramilitar bloque central bolivar lugar intentar matar él paramilitar bloque central bolivar sabia salido conversacion persona organizacion social queria cuestion familiar bloque temible epocar aguilos bloque central bolivar llamar paramilitar bloque central bolivar llamar vale valer entender amor cuentame paso asesinar padre sepa sepa papa casa decir sentir hablar recuerdo parar dejar pelear gente dejado ninez mama']"
5,4834,5_fiscalia_fiscal_liberal_conservador,"['fiscalia', 'fiscal', 'liberal', 'conservador', 'electoral', 'fiscalio', 'denuncia', 'denunciar', 'justicia', 'grado', 'partido liberal', 'investigacion', 'voto', 'abogado', 'junta', 'liberalismo', 'policia policia', 'elección', 'fiscaliar', 'uribir', 'movimiento', 'juez', 'informacion', 'accion', 'republico', 'audiencia', 'presidente organizacion', 'comunal', 'doctor', 'presidencia']","['fiscalia', 'fiscaliar', 'fiscal', 'fiscalio', 'investigacion', 'presidente organizacion', 'presidente republico', 'conocido presidente', 'informacion', 'declaracion']","['fiscalia', 'fiscal', 'liberal', 'fiscalio', 'investigacion', 'policia policia', 'fiscaliar', 'republico', 'presidente organizacion', 'presidencia']","['fiscalia', 'fiscal', 'liberal', 'conservador', 'electoral', 'fiscalio', 'denuncia', 'justicia', 'grado', 'voto']","['ver prensa destello mirar destello vaín vaín investigar fondo tendencia culpar da da desvio investigacion caso das actua da policia judicial jefe fiscalia subalterno fiscalia fiscalia ordenar entregar avalar seguimiento buscar relación inteligencia sede sabio condenado muerte sabio carcel llamar matar consiguio saber inteligencia salir peleado gente ejercito comprometido asunto fiscalia invento metodo analisis contexto division empezo termino terminar ejercito delegado identificar salvaguardar', 'manejar defensorio resultar ano dar senor abogado cartel norte valle asesino suelas conoci gusto tipo risa gusto informacion nombrar parlamentario dependia defensor direccion defensorio pueblo quindio regional dependia director fiscalia dependio nombrado director fiscalia dependio nombrar director seccional fiscalia investigación fiscaliar narcotraficant banda criminal cuello blanco inserta politico digame moral fiscal fiscal tocar problema orden publico narcotrafico poner investigar cosa', 'caso caso documentado presentarlo fiscalia aja fiscalia llevar caso tiempo recordar nombre mujer frente fiscalia documentar caso formato fiscalia llevar fiscalia persona atendio revisar caso quejar organizacion decir llamar confiable llevar documentacion fiscalia recibiar caso ventanillo aja caso persona esperar turno sabio quejar logre abogada organizacion hacer entrar caso pos revisada oficín aparte empezar recibir yo caso ocurrio incidente persón recibir caso empezo pregunta veniar caso']"
6,4645,6_radio_telefono_foto_vision,"['radio', 'telefono', 'foto', 'vision', 'television', 'video', 'emisora', 'llamado', 'internet', 'numero', 'comunicacion', 'informacion', 'fotografia', 'tomar foto', 'celular', 'noticia', 'periodista', 'colombia', 'televisor', 'emisor', 'periodico', 'grado', 'contacto', 'programa', 'organizacion privado', 'telefonico', 'imagen', 'llame', 'man', 'llamo']","['organizacion publica', 'telefonico', 'informacion', 'comunicación', 'comunicacion', 'organizacion privado', 'desaparecido', 'telefono', 'telefonica', 'numero telefono']","['radio', 'foto', 'television', 'emisora', 'comunicacion', 'informacion', 'colombia', 'televisor', 'contacto', 'telefonico']","['radio', 'telefono', 'foto', 'video', 'emisora', 'llamado', 'numero', 'comunicacion', 'fotografia', 'celular']","['evento relatorio cosa parch incluido foto afuero universidad parchar universidad chico salir sentar afuera peatonal sitio haciamo poesiar foto normal amigo normal hablar foto tomado cerca espacio concurrido obviamente facil identificar tomar foto raiz amenaza tomar enserio salio foto sobrino amenaza especificar seguiamo entendiamo amenaza haciamo caso basicamente ibar aao matar desaparecer podiar pasar cosa familia tipo amenaza llegar casa chico minguir excombatiente ejercito hijo mujer foto', 'pasaro tiempo regresarme encontre conocido presentar encontre conocido conto cosa arreglario vido hijo traerlo pedir dio pasar tiempo hijo joven sardino paso hombre persona ano nina vivir muchacho trabajar traermelo llamado diz sabiar llamado vine venir llamado amenazandolo gano mami volver llamar amor cambia telefono telefono cambiar cambiar telefono cambiar telefono cambialo amor telefono tiempo situacion familia familia esposo hijo encontrar familia materno mama padre murio padre murio ano', 'colombiano colombia empece trasnochar aprender manejar equipo empecir noticia practicar entrevista empezo carrera gusto ver llamar atencion dedique pagar peso hacer grupo comunicador grupo radial grupo radial acabo paso colmundo radio colmundo radio oportunidad organizacion privado radio querio trabajar integre noticiero trabajabamos manán noche querio gustar empecir carrera periodista condefinitivamente periodista empecir redactor judicial cubrir tema violencio orden publico colombia']"
7,4478,7_papas_papa mama_hermana_mama mama,"['papas', 'papa mama', 'hermana', 'mama mama', 'papa papa', 'adolescente', 'papar', 'llorar', 'embarazado', 'mama papa', 'nín', 'nina', 'tio', 'embarazo', 'joven', 'ayuda', 'hermán', 'abuelo', 'menor', 'abuela', 'dolor', 'familia familia', 'queria', 'labor', 'tia', 'mami', 'sentia', 'finco', 'cuidar', 'hijo hijo']","['mama papa', 'papa mama', 'mama hermano', 'hermano hermano', 'papa papa', 'casa mama', 'papa hijo', 'quedar embarazado', 'papar', 'mama mama']","['papas', 'papa mama', 'hermana', 'papa papa', 'adolescente', 'papar', 'embarazado', 'mama papa', 'familia familia', 'queria']","['hermana', 'adolescente', 'embarazado', 'nín', 'nina', 'tio', 'embarazo', 'joven', 'ayuda', 'hermán']","['casa ano querer morir querer vivir tiran papa caliente pense unico responsabilidad volver vuelvo dar responsabilidad mantener casa unido papa mama mamado mama meses hija secuestrado papa mama podiar querer querer separar seguir hablar mama mami paciente tranquilo papa mejorar hablar papa papi podiar contar cosa guia intencion duda intencion papas seguir junto querer papa hermana hermán chiquito queriar querio estresar hermana hermán saber tiempo secuestrado duro papas mama ladito molestaba', 'cabuir bolsillo risa imagino imagino alcanzar imaginar condición conflicto dar epoca recordar papas epocar afortunadamente epoca bonito vivir fortuno estudiar institucion educativo familia configuro familia lado dedicar ganaderia finco ganadero dejar nino tio tio vivia pueblo familia quedar cuidado papa mama finco trabajar viviar hermano pequenito estudiar hermanito hermano chiquito papas quedar hermana familiar mayor chiquito kinder entrar kinder anito papas levantar ganaderia epocar preguntar', 'mandar reposo supar exactamente embarazado embarazadito sintoma supar embarazado lucha terrible embarazado condición pasar pasar quiero beber uy viera querio beber querer llorar mama hermana favor haga mirar nín querer situacion quiero aferrir queria hijo dejar hacer queria hijo hermana abrazar piensalo mirar bebe venir resignar embarazo meses comencir embarazo pase meses enfermar psicologico traumo llorar veia barrigo mes veiar barrigo mes veiar barrigo primero ecografia sentado mes sentado']"
8,4257,8_cafe_hotel_taxi_camino,"['cafe', 'hotel', 'taxi', 'camino', 'restaurante', 'dormir', 'bus', 'cocina', 'cafetero', 'cocinar', 'caminar', 'carretera', 'cargo', 'regalia', 'moto', 'camioneta', 'ropa', 'man', 'regalar', 'llorar', 'regalo', 'motor', 'transporte', 'abajo', 'negocio', 'casa casa', 'finco', 'monte', 'nín', 'vecino']","['cafetero', 'cafe', 'coger cafe', 'campamento', 'restaurante', 'llegar casa', 'cultivo', 'casa casa', 'senor conocido', 'hotel']","['cafe', 'hotel', 'taxi', 'camino', 'bus', 'cocina', 'cafetero', 'carretera', 'regalo', 'casa casa']","['cafe', 'hotel', 'taxi', 'camino', 'restaurante', 'bus', 'cafetero', 'cocinar', 'carretera', 'cargo']","['local consumismo cafe alto calidad llevar afectar ampliar frontera agricola alto abajo gente quedar produccion desplazar literalmente economia muchacho gente ciento envejecido finca ayuda estrategia dar alternativa dedicar cultura alto calidad invierte plata cafe altura cafetero metro pueblo recibo beneficio cafetero metros nivel mar botar parar bola interesar cafe interés entorno danar cafe momentaneamente caliento corra banco complejo tema solucionir origino conflicto hacer raro manana', 'empresario empezar empresario exponer humilde pobre campesino volver empresario empresa consolidar robandole papair robe pasar pregunte pregunto narcotrafico esperatir pausa cafe ahh cafe vender dar oportunidad muchacho saque llegar nivel llegar alguien dejar consejo ver sacar cafe especial lograr noche manán lograr anos sacrificio hora noch vender queyo vender gusta cafe decir él ver cafe cafe gusta gustar vender malo gente vender cosa vender gente vender vender ido conferencia expongo cafe', 'mejorar calidad producto hablar ejemplo cafe iniciar proceso porcentaje tasar maximo tando cafe federacion valio pesos bajo calidad resultar trabajo organizzacion publicar acompanamiento campesino tasa cafe superar cosa abrumador creia sabiar organizar cafe sabiar manejar él capacitación cosa compartir experiencia gente aprender cuadrar cafe tecnico capacitacion importante tema cafe subiero calidad cargo cafe valer peso valer diferencia dobletear carga cafe campesino posibilidad mejorar calidad']"
9,4251,9_barrio_rio_rural_millón,"['barrio', 'rio', 'rural', 'millón', 'urbano', 'colonizacion', 'indigena', 'barrio barrio', 'territorial', 'indigén', 'puerto', 'invasion', 'ciudad', 'colono', 'sector', 'terratenient', 'millón peso', 'joven', 'abajo', 'rio rio', 'man', 'ancestral', 'via', 'presencia', 'historico', 'pueblo indigena', 'memoria', 'zona rural', 'negocio', 'eln']","['barrio barrio', 'barrio', 'ciudad', 'organizacion publica', 'informacion', 'movimiento', 'poblacion', 'pueblo indigena', 'colonizacion', 'casco urbano']","['barrio', 'rural', 'urbano', 'colonizacion', 'barrio barrio', 'puerto', 'ciudad', 'millón peso', 'rio rio', 'pueblo indigena']","['barrio', 'rio', 'rural', 'millón', 'urbano', 'territorial', 'puerto', 'ciudad', 'colono', 'sector']","['colegio barrio viviamos hermano mayor pendiente pequeno haciamo haciamo cuidado gestionar supervivencia hermano menor hermano menor momento seguiditos proceso escuela recuerda dificil tema vallecaucán valle paisa recuerda proceso llegar escuela buscar amigo acento costumbre comida terrible terrible vivir racismo sentir él desentonar curioso llegar barrio popular barrio conflicto llamar barrio barrio llamar barrio momento vivo barrio conflicto barrio vivido migracion dificil entraba facil', 'lugar podiar parar lugar corriar riesgo perder vido ropa barrio asesinato hombre joven vivia barrio podiar mujer vulnerable frontera invisible idea entrar hombre caso mujer sentir control conflicto muchachos sentir temor sentir frente zozobra suceder mover mundo mujer facil entrar barrio salir sentir confianza temor depender barrio dario miedo entrar ejemplo sientes temor entrar sector causar temor pasar barrio depender peligroso nombre pertenecer asociacion complicado vivo tiempo barrio calma', 'encontrar barrio senoro dón venir contar vivi barrio lugar llegar vivir ano adquiri casa barrio tranquilo barrio vivia persona escaso recurso vivia armoniosamente vecino barrio convivencia llegar vivir persona barrio costa venia gente gente costa llegar persona llegado persona danar convivencia barrio presentar actor violenciir problema vecino inseguridad llegar persona familiar situación conflicto persona familiar conflicto alterar convivencia barrio tipo conflicto presentar barrio donar']"
10,2650,10_revolver_unidad militar_grado_uniforme,"['revolver', 'unidad militar', 'grado', 'uniforme', 'pistola', 'militar ejercito', 'armamento', 'soldado', 'grado ejercito', 'fusil', 'civil', 'servicio militar', 'uniformado', 'combate', 'tiro', 'entrenamiento', 'man', 'pistolo', 'prestar servicio', 'prestar', 'disparar', 'fuerza militar', 'oficial', 'inteligencia', 'moto', 'armar', 'ejercito unidad', 'miliciano', 'milicia', 'joven']","['militar unidad', 'militar ejercito', 'ejercito unidad', 'unidad militar', 'grado ejercito', 'ejercito grado', 'objetivo militar', 'entrenamiento', 'grado militar', 'operacion']","['revolver', 'unidad militar', 'uniforme', 'pistola', 'militar ejercito', 'armamento', 'servicio militar', 'uniformado', 'pistolo', 'fuerza militar']","['grado', 'uniforme', 'pistola', 'armamento', 'soldado', 'fusil', 'civil', 'uniformado', 'combate', 'tiro']","['toes pido mostrar revolver allanamiento agarrar harta gente revolver revolver senor farmacia revolver amparado revolver amparado poner revolver revolver revolver _ smith _ _ wesson _ viejito largote solicito entregar revolver revolver pecado pecado revolver ento empezo defensa exactamente informe revolver aso tar oxidado tipo empezar incriminar hijo pesero encontrar evidencia ento llamar muchacho venir montese testigo falso imaginese llevar capturan llevar batallon empezar muchacho muchacho', 'venir grado ejercito capaz acabar noche pego soldado trajera revolver poner revolver martillo grado ejercito grado ejercito mandar grado apellido grado ejercito apellido grado ejercito grado ejercito grado enfermero llamar conocido llamar conocido conocido gusto noche echar tiro lograr escuche tiro ojala chino embalar disparo grado hozo disputo miedo rabio gusto humillado gusto enfermero conocido mono metia pasar carcel lugar aguantar hambre sacar noche sonar sonar candado sacar ejercito sacar', 'unidad militar ejercito anos formacion importante organizacion publica conozca grado apellido grado ejercito energico unidad militar ejercito bigotudo retirado tipo amigo responsable primo responsable lugar duro reuniar veiir camioneta entrar batallon reunido grado grado ejercito gordo grado sabio hablar reunión gente empecir desmoralizarme ejercito cosa contame noticia traslado unidad militar ejercito gradua grado llevar pa l teatro grado decir grado unidad militar grado unidad militar grado']"
11,2444,11_judicial_narcotrafico_cartel_narcotraficante,"['judicial', 'narcotrafico', 'cartel', 'narcotraficante', 'justicia', 'penal', 'mafia', 'cali', 'cartel cali', 'criminal', 'tribunal', 'juez', 'narco', 'corte', 'penal militar', 'proceso judicial', 'narcotraficant', 'escobar', 'valle', 'justicia penal', 'legal', 'legalizar', 'abogado', 'norte', 'pablo', 'norte valle', 'grado', 'sentencia', 'comision', 'tema narcotrafico']","['cartel', 'narcotrafico', 'cartel cali', 'jurisdiccion', 'cartel medellin', 'tema narcotrafico', 'constitucional', 'narcotraficant', 'narco', 'investigacion']","['narcotrafico', 'cartel', 'cartel cali', 'criminal', 'tribunal', 'narco', 'proceso judicial', 'justicia penal', 'legalizar', 'abogado']","['judicial', 'narcotrafico', 'cartel', 'justicia', 'penal', 'mafia', 'criminal', 'tribunal', 'juez', 'corte']","['antiguo mo nexos paramilitarismo informe conocer memoria investigar él cartel narcotrafico acuerdense extenso cartel cali cartel norte valle empezar hablar grupo grupo avanzar ahorita hablo traer grupo paramilitar proteger él control recurso mandar narcotraficant buscar servicio paramilitar proteccion tierra zona justicia zona zona violencia justicia carteles valle traer paramilitar protegersen concretamente traer bloque calima mando rango paramiliatr conocido llevado corte tribunal justicia', 'narcotraficante narcotraficante conto historia amigo jodiar mujeriegos regalar ametralladoro checoslovaca hermosisima cosa unico regalo obsequio traido atrevidamente pregunte pasar dificultad economica tema plata vea recibar peso man joder querer recibido plata narco empezar recibir él plata narco pasar trabajo jefe cartel cali amiguisir conocido gente amiguisir peso muriendonos hambre tocar tema indagu tema narcotrafico cartel cali caso palacio justicia tema cartel medellin cartel cali', 'caracterizar narcotraficante narcotrafico caquetar comparandolo cartel medellin cali funcionar tema podido produccion hoja cocar narcotrafico venio parte narcotraficant querer veniar parte colombia relacion narcotraficante local caracterizar narcotrafico caqueto mirar line tiempo narcotrafico empezo llegar narcotraficante carlos leder pablo escobar momento cultivo procesamiento salido avioneta parte region farc tomar campamento venir ejercito destruir cartel narcotrafico entrar compra cadén']"
